current_price,volume,trade_price,date,start_price,high_price,low_price
555.73999,86400,,19971105,547.330017,565.159973,546.299988
553.869995,64500,,19971106,555.210022,558.25,544.530029
515.630005,77000,,19971107,554.380005,554.73999,514.940002
525.320007,62400,,19971110,501.450012,526.599976,501.450012
522.109985,57500,,19971111,521.619995,537.950012,509.429993
517.48999,41700,,19971112,521.330017,521.330017,507.220001
519.469971,60400,,19971113,521.460022,529.780029,515.570007
520.01001,47000,,19971114,519.140015,522.76001,509.529999
496.980011,44700,,19971117,517.650024,526.119995,495.410004
494.660004,48800,,19971118,489.690002,500.48999,476.299988
502.589996,44200,,19971119,494.73999,502.589996,482.950012
488.410004,56900,,19971120,504.940002,505.709991,475.859985
506.070007,69900,,19971121,493.429993,506.070007,483.23999
450.640015,33200,,19971124,477.089996,477.089996,450.01001
439.589996,56800,,19971125,441.660004,448.109985,423.690002
438.700012,63400,,19971126,436.450012,444.320007,429.51001
433.100006,57800,,19971127,439.049988,445.559998,432.829987
411.910004,48600,,19971128,430.25,430.25,407.220001
393.160004,46900,,19971201,405.519989,412.149994,393.160004
376.869995,40900,,19971202,389.119995,389.119995,367.339996
379.309998,88200,,19971203,369.01001,379.450012,356.820007
405.809998,111200,,19971204,383.059998,406.01001,383.059998
434.119995,92200,,19971205,417.429993,436.5,417.429993
414.829987,98100,,19971208,432.779999,438.549988,414.630005
388,81300,,19971209,410.130005,410.130005,387.929993
399.850006,87200,,19971210,396.329987,405.459991,380.459991
377.369995,78000,,19971211,398.059998,398.059998,376.190002
350.679993,43900,,19971212,362.649994,362.649994,350.679993
385.799988,79500,,19971215,367.040009,385.950012,367.040009
404.26001,100700,,19971216,393.920013,413.119995,393.920013
418.48999,111300,,19971217,404.480011,422.519989,398.970001
397.019989,99300,,19971219,416.109985,420.140015,396.589996
396.059998,75200,,19971222,402.119995,409.040009,395.440002
366.359985,85900,,19971223,391.269989,391.269989,366.320007
351.450012,85800,,19971224,361.320007,361.320007,343.320007
375.149994,68600,,19971226,359.649994,376.839996,359.649994
396.48999,98400,,19980105,389.079987,403.929993,389.079987
406.339996,74800,,19980106,396.839996,406.390015,395.890015
409.420013,97700,,19980107,407.690002,424.01001,407.220001
423.959991,90000,,19980108,409.880005,424.809998,403.079987
414,85300,,19980109,420.769989,420.920013,408.309998
456.200012,113100,,19980112,447.070007,461.559998,444.070007
463.73999,111800,,19980113,456,466.589996,450.01001
475.130005,128200,,19980114,466,482.839996,463.809998
505.980011,129200,,19980115,479.549988,506.519989,479.549988
488.100006,200100,,19980116,512.27002,532.429993,485.829987
528.77002,151200,,19980119,502.309998,528.799988,502.309998
533.549988,127800,,19980120,529.25,543.460022,520.48999
506.660004,131200,,19980121,529.820007,529.820007,504.070007
483.98999,110800,,19980122,503.98999,510.869995,483.98999
486.859985,87500,,19980123,483.470001,492.670013,474.470001
518.640015,80800,,19980126,512.609985,522.5,512.130005
558.330017,61300,,19980130,528.47998,558.340027,528.47998
543.679993,98000,,19980202,556.580017,556.580017,534.390015
550.210022,104600,,19980203,547.700012,564.130005,539.679993
547.280029,100300,,19980204,552.969971,560.859985,545.789978
528.049988,95200,,19980205,546.73999,549.169983,524.380005
540.450012,104100,,19980206,539.309998,553.109985,534.76001
554.23999,90800,,19980209,543.080017,557.960022,542.919983
541.77002,86200,,19980210,554.830017,558.650024,538.369995
520.140015,83000,,19980211,539.219971,539.219971,511.809998
